INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,ZIP_CODE,CENSUS_TRACT,BIN,NTA,LOCATION
91 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004140025,1/16/2018,Open,Site downloaded for cleaning,,986803,201022,40.718436,-73.99079,10002,18,1005464,Chinatown,"(40.718436, -73.99079)"
1514 JEFFERSON AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033930041,1/15/2018,Open,Site downloaded for cleaning,,1009900,193284,40.69716,-73.907498,11237,439,3078123,Bushwick North,"(40.69716, -73.907498)"
102 AVENUE O,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065990009,1/12/2018,Open,Site downloaded for cleaning,,989432,161697,40.610496,-73.981336,11204,432,3174262,Bensonhurst East,"(40.610496, -73.981336)"
155 AVENUE O,BROOKLYN,11 BROOKLYN,Precinct 62,44,3065800036,1/12/2018,Open,Site downloaded for cleaning,,990084,161797,40.61077,-73.978988,11204,434,3173434,Bensonhurst East,"(40.61077, -73.978988)"
158 LAFAYETTE STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1002330017,1/11/2018,Open,Mail returned / wrong address,,984437,201509,40.719773,-73.999325,10013,45,1003049,SoHo-TriBeCa-Civic Center-Little Italy,"(40.719773, -73.999325)"
40 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003100004,1/9/2018,Open,Site downloaded for cleaning,,986929,200209,40.716204,-73.990336,10002,16,1004022,Chinatown,"(40.716204, -73.990336)"
29A LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002980018,1/9/2018,Open,Site downloaded for cleaning,,986832,199979,40.715573,-73.990686,10002,16,1003852,Chinatown,"(40.715573, -73.990686)"
513 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3051130032,1/9/2018,Open,Site downloaded for cleaning,,992444,174306,40.645103,-73.970473,11218,1522,3117437,Flatbush,"(40.645103, -73.970473)"
94-24 NORTHERN BOULEVARD,QUEENS,03 QUEENS,Precinct 115,21,4017100003,3/14/2018,Open,Graffiti Reported,,1019281,215026,40.756804,-73.873555,11372,375,4042341,North Corona,"(40.756804, -73.873555)"
6803 9 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3057710006,3/10/2018,Open,Site to be cleaned.,,980862,168616,40.629488,-74.012206,11220,12801,3143031,Dyker Heights,"(40.629488, -74.012206)"
184 REID ST,BROOKLYN,01 BROOKLYN,Unspecified,,,3/9/2018,Open,Property Research Required,,,,,,,,,,
Glenwood Road intersection of East 83 Street,BROOKLYN,01 BROOKLYN,Unspecified,,,3/3/2018,Open,Property Research Required,,,,,,,,,,
5701 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008490010,3/1/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,980844,172361,40.639767,-74.012272,11220,102,3015788,Sunset Park East,"(40.639767, -74.012272)"
18-27 COLLEGE POINT BOULEVARD,QUEENS,07 QUEENS,Precinct 109,19,4041280009,3/1/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1026937,224570,40.782966,-73.845859,11356,925,4098829,College Point,"(40.782966, -73.845859)"
168 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1,1004780014,2/27/2018,Open,Site downloaded for cleaning,,985677,201920,40.720901,-73.994852,10012,41,1007133,SoHo-TriBeCa-Civic Center-Little Italy,"(40.720901, -73.994852)"
122 FORSYTHE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004190047,2/25/2018,Open,Site downloaded for cleaning,,986362,201332,40.719287,-73.992381,10002,18,1005586,Chinatown,"(40.719287, -73.992381)"
71-24 MAIN STREET,QUEENS,08 QUEENS,Precinct 107,24,4066200032,2/25/2018,Open,Site downloaded for cleaning,,1033559,204261,40.727189,-73.822097,11367,77902,4143376,Kew Gardens Hills,"(40.727189, -73.822097)"
9 JAY STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1,1001800012,2/22/2018,Open,Site downloaded for cleaning,,981576,200871,40.718021,-74.009646,10013,39,1077216,SoHo-TriBeCa-Civic Center-Little Italy,"(40.718021, -74.009646)"
104-03 METROPOLITAN AVENUE,QUEENS,06 QUEENS,Precinct 112,29,4032400040,2/22/2018,Open,Site downloaded for cleaning,,1026235,198022,40.710102,-73.84856,11375,731,4077526,Forest Hills,"(40.710102, -73.84856)"
109 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031630001,2/21/2018,Open,Site downloaded for cleaning,,1003165,194131,40.699502,-73.931784,11206,425,3072045,Bushwick South,"(40.699502, -73.931784)"
456 WEST   47 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,3,1010560060,2/10/2018,Open,Site to be cleaned.,,986497,216989,40.762261,-73.991882,10036,127,1026513,Clinton,"(40.762261, -73.991882)"
245-16 HOR HARDING EXPRESSWAY S SVC RD,QUEENS,11 QUEENS,Precinct 111,23,4082760100,2/7/2018,Open,Site downloaded for cleaning,,1057991,216149,40.759648,-73.733818,11362,152901,4171723,Douglas Manor-Douglaston-Little Neck,"(40.759648, -73.733818)"
290 KINGS HIGHWAY,BROOKLYN,11 BROOKLYN,Precinct 62,47,3066500075,1/31/2018,Open,Site downloaded for cleaning,,989855,159743,40.605132,-73.979815,11223,426,3176848,Bensonhurst East,"(40.605132, -73.979815)"
39-02 BELL BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19,4062370001,1/31/2018,Open,Mail returned / wrong address,,1047460,218122,40.765145,-73.771813,11361,1123,4137546,Bayside-Bayside Hills,"(40.765145, -73.771813)"
321 WYCKOFF AVENUE,QUEENS,05 QUEENS,Precinct 104,34,4034440041,1/29/2018,Open,Site to be cleaned.,,1008753,194265,40.699856,-73.911631,11385,549,4082324,Ridgewood,"(40.699856, -73.911631)"
241 THROOP AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017570006,1/26/2018,Open,Site to be cleaned.,,999929,192753,40.695726,-73.943458,11206,283,3048695,Stuyvesant Heights,"(40.695726, -73.943458)"
510 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053520017,1/24/2018,Open,Site downloaded for cleaning,,990004,173125,40.641863,-73.979267,11218,486,3125161,Kensington-Ocean Parkway,"(40.641863, -73.979267)"
53 CHURCH AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053130029,1/24/2018,Open,Site to be cleaned.,,989422,173175,40.642001,-73.981364,11218,496,3123927,Kensington-Ocean Parkway,"(40.642001, -73.981364)"
1074 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37,3042000013,1/24/2018,Open,Site downloaded for cleaning,,1020453,186444,40.678349,-73.869478,11208,1190,3094326,Cypress Hills-City Line,"(40.678349, -73.869478)"
508 VANDERBILT STREET,BROOKLYN,07 BROOKLYN,Precinct 72,39,3052740008,1/23/2018,Open,Site downloaded for cleaning,,990666,177278,40.653262,-73.976877,11218,50202,3122456,Windsor Terrace,"(40.653262, -73.976877)"
600 ASHFORD STREET,BROOKLYN,05 BROOKLYN,Precinct 75,42,3040790040,1/19/2018,Open,Site downloaded for cleaning,,1016585,182402,40.667269,-73.883443,11207,1124,3090499,East New York,"(40.667269, -73.883443)"
123 WEST   43 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,4,1009960021,1/18/2018,Open,Site downloaded for cleaning,,988577,214651,40.755843,-73.984382,10036,119,1022615,Midtown-Midtown South,"(40.755843, -73.984382)"
572 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3004880006,1/17/2018,Open,Site downloaded for cleaning,,984329,183934,40.671533,-73.999715,11231,53,3008210,Carroll Gardens-Columbia Street-Red Hook,"(40.671533, -73.999715)"
102 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1002767501,1/9/2018,Open,Site downloaded for cleaning,,985526,198752,40.712205,-73.995397,10002,8,1082937,Chinatown,"(40.712205, -73.995397)"
131 DIVISION STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002830083,1/9/2018,Open,Site downloaded for cleaning,,986625,199575,40.714464,-73.991433,10002,6,1003606,Lower East Side,"(40.714464, -73.991433)"
2717 RESERVOIR AVENUE,BRONX,08 BRONX,Precinct 50,14,2032480046,1/8/2018,Open,Site downloaded for cleaning,,1012064,255928,40.869094,-73.899435,10468,26701,2015259,Van Cortlandt Village,"(40.869094, -73.899435)"
110 EAST   19 STREET,MANHATTAN,05 MANHATTAN,Precinct 13,2,1008740071,3/12/2018,Open,Site to be cleaned.,,987811,207894,40.737297,-73.98715,10003,50,1017904,Gramercy,"(40.737297, -73.98715)"
198-21 HOLLIS AVENUE,QUEENS,12 QUEENS,Precinct 103,27,4108980013,3/12/2018,Open,Site to be cleaned.,,1050987,196722,40.706382,-73.759293,11412,506,4233163,Hollis,"(40.706382, -73.759293)"
1 COFFEY STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3006000011,3/12/2018,Open,Site to be cleaned.,,981346,184735,40.673731,-74.010469,11231,53,3008838,Carroll Gardens-Columbia Street-Red Hook,"(40.673731, -74.010469)"
303 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,34,3024610001,3/9/2018,Open,Site to be cleaned.,,995987,197351,40.708352,-73.957666,11211,527,3063583,North Side-South Side,"(40.708352, -73.957666)"
40 CANAL STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1002940026,3/9/2018,Open,Site to be cleaned.,,986654,199668,40.714719,-73.991328,10002,16,1003803,Chinatown,"(40.714719, -73.991328)"
3570 NOSTRAND AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073860129,3/6/2018,Open,Site to be cleaned.,,1000569,156781,40.596989,-73.941237,11229,59402,3201580,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,"(40.596989, -73.941237)"
131 WEST   35 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3,1008110016,3/5/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987420,212886,40.750999,-73.988559,10001,109,1015225,Midtown-Midtown South,"(40.750999, -73.988559)"
180 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1,1004150012,3/4/2018,Open,Site to be cleaned.,,986818,201788,40.720538,-73.990736,10002,18,1077623,Chinatown,"(40.720538, -73.990736)"
256 FLUSHING AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3018770023,3/3/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,993778,193447,40.697639,-73.965639,11205,543,3054156,park-cemetery-etc-Brooklyn,"(40.697639, -73.965639)"
50-92 NORTHERN BOULEVARD,QUEENS,02 QUEENS,Precinct 108,26,4001200084,3/2/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009038,213621,40.752982,-73.910532,11101,255,4000827,Woodside,"(40.752982, -73.910532)"
583 FRANKLIN AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011997502,2/27/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,996687,186488,40.678535,-73.955161,11238,221,3000000,Crown Heights North,"(40.678535, -73.955161)"
2040 UNIVERSITY AVENUE,BRONX,05 BRONX,Precinct 46,14,2032100002,2/24/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008955,250917,40.85535,-73.910694,10453,251,2014569,University Heights-Morris Heights,"(40.85535, -73.910694)"
200 EAST    8 STREET,BROOKLYN,12 BROOKLYN,Precinct 66,40,3053400018,2/20/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,992020,174405,40.645375,-73.972001,11218,494,3124750,Kensington-Ocean Parkway,"(40.645375, -73.972001)"
1000 BOYNTON AVENUE,BRONX,09 BRONX,Precinct 43,18,2037150002,2/16/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1018243,239567,40.824167,-73.877177,10472,5001,2114066,Soundview-Bruckner,"(40.824167, -73.877177)"
450 61 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3057910034,2/15/2018,Open,Site downloaded for cleaning,,979296,172280,40.639544,-74.01785,11220,122,3143733,Sunset Park West,"(40.639544, -74.01785)"
416 GRAHAM AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34,3027450009,2/15/2018,Open,Site downloaded for cleaning,,999546,200596,40.717253,-73.944821,11211,497,3068322,East Williamsburg,"(40.717253, -73.944821)"
1685 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2028610030,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008233,247644,40.846368,-73.913316,10453,217,2098486,University Heights-Morris Heights,"(40.846368, -73.913316)"
18-14 GATEWAY BOULEVARD,QUEENS,14 QUEENS,Precinct 101,31,4155670025,2/13/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1053453,158150,40.600492,-73.750794,11691,101001,4298338,Far Rockaway-Bayswater,"(40.600492, -73.750794)"
8802 GLENWOOD ROAD,BROOKLYN,18 BROOKLYN,Precinct 69,46,3080090032,2/10/2018,Open,Site downloaded for cleaning,,1009506,172764,40.640838,-73.908996,11236,964,3224632,Canarsie,"(40.640838, -73.908996)"
541 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3033260001,2/8/2018,Open,Site downloaded for cleaning,,1007642,193325,40.697279,-73.915641,11221,433,3076117,Bushwick North,"(40.697279, -73.915641)"
113-30 QUEENS BOULEVARD,QUEENS,06 QUEENS,Precinct 112,29,4033400024,2/5/2018,Open,Site downloaded for cleaning,,1029844,200730,40.717517,-73.835524,11375,76901,4079813,Forest Hills,"(40.717517, -73.835524)"
130 WEST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3,1005260075,2/3/2018,Open,Site downloaded for cleaning,,983835,204406,40.727724,-74.001497,10012,65,1008334,West Village,"(40.727724, -74.001497)"
427 LINDEN BOULEVARD,BROOKLYN,17 BROOKLYN,Precinct 67,41,3048570049,2/2/2018,Open,Site to be cleaned.,,999966,177194,40.65302,-73.943361,11203,816,3108150,East Flatbush-Farragut,"(40.65302, -73.943361)"
822 UTICA AVENUE,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046750016,2/2/2018,Open,Site to be cleaned.,,1003526,177198,40.653024,-73.930531,11203,868,3336181,Rugby-Remsen Village,"(40.653024, -73.930531)"
353 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050547501,2/2/2018,Open,Site downloaded for cleaning,,994854,177654,40.65429,-73.961783,11226,50803,3115923,Flatbush,"(40.65429, -73.961783)"
160-07 GUY BREWER BOULEVARD,QUEENS,01 QUEENS,Unspecified,,,1/31/2018,Open,Property Research Required,,,,,,,,,,
105-15 177 STREET,QUEENS,12 QUEENS,Precinct 103,27,4103330118,1/31/2018,Open,Site to be cleaned.,,1044923,195617,40.703393,-73.781174,11433,440,4220192,South Jamaica,"(40.703393, -73.781174)"
228-15 LINDEN BOULEVARD,QUEENS,13 QUEENS,Precinct 105,27,4113290003,1/31/2018,Open,Site downloaded for cleaning,,1058307,191829,40.692894,-73.732945,11411,600,4244618,Cambria Heights,"(40.692894, -73.732945)"
4213 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,,1/30/2018,Open,Property Research Required,,985841,173355,40.642496,-73.994267,11219,112,,Sunset Park East,"(40.642496, -73.994267)"
108 7 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009570039,1/29/2018,Open,Site to be cleaned.,,990974,184849,40.674042,-73.97576,11215,157,3020201,Park Slope-Gowanus,"(40.674042, -73.97576)"
3 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10,1021230026,1/27/2018,Open,Site to be cleaned.,,1000976,244911,40.838884,-73.939553,10032,251,1062953,Washington Heights South,"(40.838884, -73.939553)"
77 VANBUREN STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36,3017910049,1/26/2018,Open,Site downloaded for cleaning,,1000100,190709,40.690115,-73.942846,11221,263,3050007,Bedford,"(40.690115, -73.942846)"
1507 AVENUE O,BROOKLYN,14 BROOKLYN,Precinct 70,48,3067530053,1/26/2018,Open,Site downloaded for cleaning,,995689,162610,40.612996,-73.9588,11230,544,3181407,Midwood,"(40.612996, -73.9588)"
509 BROADWAY,MANHATTAN,02 MANHATTAN,Precinct 1,1,,1/25/2018,Open,Property Research Required,,984438,202479,40.72246,-73.9993,10012,49,,SoHo-TriBeCa-Civic Center-Little Italy,"(40.72246, -73.9993)"
403 CHURCH AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39,3053370032,1/24/2018,Open,Site downloaded for cleaning,,990801,173936,40.644089,-73.976394,11218,496,3124653,Kensington-Ocean Parkway,"(40.644089, -73.976394)"
23-01 QUEENS PLAZA,QUEENS,01 QUEENS,Precinct 114,26,4004130002,1/23/2018,Open,Site to be cleaned.,,1000361,213136,40.751671,-73.941851,11101,33,4000000,Queensbridge-Ravenswood-Long Island City,"(40.751671, -73.941851)"
60 WEST    9 STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005390012,1/23/2018,Open,Site to be cleaned.,,983115,185748,40.676512,-74.004092,11231,59,3008470,Carroll Gardens-Columbia Street-Red Hook,"(40.676512, -74.004092)"
114-02 128 STREET,QUEENS,10 QUEENS,Precinct 106,28,4116540005,1/19/2018,Open,Site downloaded for cleaning,,1036274,187335,40.680715,-73.812432,11420,174,4251605,South Ozone Park,"(40.680715, -73.812432)"
85 HESTER STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1,1003080028,1/18/2018,Open,Site downloaded for cleaning,,986602,200169,40.716094,-73.991516,10002,16,1003995,Chinatown,"(40.716094, -73.991516)"
200 AVENUE A,MANHATTAN,03 MANHATTAN,Precinct 9,2,1004060004,1/18/2018,Open,Site downloaded for cleaning,,989494,205018,40.729402,-73.981079,10009,34,1005199,East Village,"(40.729402, -73.981079)"
554 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,8,2022750022,1/18/2018,Open,Site downloaded for cleaning,,1008222,236000,40.814409,-73.913397,10455,43,2000123,Mott Haven-Port Morris,"(40.814409, -73.913397)"
451 EAST TREMONT AVENUE,BRONX,06 BRONX,Precinct 48,15,2030340054,1/18/2018,Open,Site downloaded for cleaning,,1012246,247947,40.847188,-73.89881,10457,395,2011250,Claremont-Bathgate,"(40.847188, -73.89881)"
389 DWIGHT ST,BROOKLYN,01 BROOKLYN,Unspecified,,,1/17/2018,Open,Property Research Required,,,,,,,,,,
west 137 street and 7th avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,1/17/2018,Open,Property Research Required,,,,,,,,,,
19 WEST    9 STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38,3005340041,1/17/2018,Open,Site downloaded for cleaning,,982622,185936,40.677028,-74.005869,11231,59,3395393,Carroll Gardens-Columbia Street-Red Hook,"(40.677028, -74.005869)"
2035 FIRST AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,8,1016770023,1/17/2018,Open,Site downloaded for cleaning,,1000710,226724,40.788966,-73.940558,10029,170,1052759,East Harlem South,"(40.788966, -73.940558)"
22-25 STEINWAY STREET,QUEENS,01 QUEENS,Precinct 114,22,4007950021,1/17/2018,Open,Site downloaded for cleaning,,1010080,220653,40.77228,-73.906744,11105,119,4015368,Steinway,"(40.77228, -73.906744)"
325 NOSTRAND AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018030004,1/14/2018,Open,Site downloaded for cleaning,,997862,189633,40.687165,-73.950918,11216,251,3050612,Bedford,"(40.687165, -73.950918)"
191-15 LINDEN BOULEVARD,QUEENS,12 QUEENS,Precinct 113,27,4110620020,1/11/2018,Open,Site downloaded for cleaning,,1050791,191591,40.6923,-73.76005,11412,528,4238273,St. Albans,"(40.6923, -73.76005)"
362 OVINGTON AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3058910043,1/11/2018,Open,Site downloaded for cleaning,,977388,170297,40.6341,-74.024723,11209,68,3000000,Bay Ridge,"(40.6341, -74.024723)"
310 EAST    4 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,2,1003730008,1/8/2018,Open,Site downloaded for cleaning,,989891,202341,40.722087,-73.979732,10009,2601,1004380,Lower East Side,"(40.722087, -73.979732)"
2381 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47,3068580042,1/8/2018,Open,Site downloaded for cleaning,,987096,157682,40.599477,-73.989751,11214,298,3185322,Bensonhurst East,"(40.599477, -73.989751)"
1307 GRAVESEND NECK ROAD,BROOKLYN,15 BROOKLYN,Precinct 61,48,3073740056,3/9/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,996112,155867,40.594487,-73.957288,11229,584,3200692,Homecrest,"(40.594487, -73.957288)"
251 EAST   39 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,4,1009200028,3/8/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,991345,211892,40.748269,-73.974394,10016,88,1020378,Turtle Bay-East Midtown,"(40.748269, -73.974394)"
3401 WILSON AVENUE,BRONX,12 BRONX,Precinct 47,12,2047080001,2/28/2018,Open,Site downloaded for cleaning,,1025529,258293,40.875533,-73.850736,10469,382,2059822,Williamsbridge-Olinville,"(40.875533, -73.850736)"
64-05 KISSENA BOULEVARD,QUEENS,08 QUEENS,Precinct 107,24,4067430037,2/22/2018,Open,Site downloaded for cleaning,,1035572,208123,40.737778,-73.814805,11367,122702,4146647,Pomonok-Flushing Heights-Hillcrest,"(40.737778, -73.814805)"
224 STERLING STREET,BROOKLYN,09 BROOKLYN,Precinct 71,40,3013200008,2/20/2018,Open,Site downloaded for cleaning,,997206,180817,40.662968,-73.953301,11225,329,3035024,Prospect Lefferts Gardens-Wingate,"(40.662968, -73.953301)"
1144 HALSEY STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37,3034110007,2/8/2018,Open,Site downloaded for cleaning,,1008995,190764,40.690246,-73.910771,11207,413,3078816,Bushwick South,"(40.690246, -73.910771)"
190 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,8,,2/7/2018,Open,Property Research Required,,1005305,233533,40.807645,-73.923943,10454,25,,Mott Haven-Port Morris,"(40.807645, -73.923943)"
180 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,8,2022800009,2/6/2018,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1005274,233474,40.807483,-73.924056,10454,25,2000186,Mott Haven-Port Morris,"(40.807483, -73.924056)"
57-02 VAN DOREN STREET,QUEENS,04 QUEENS,Precinct 110,21,4019660001,2/2/2018,Open,Site to be cleaned.,,1025122,208880,40.73991,-73.852509,11368,43701,4048318,Corona,"(40.73991, -73.852509)"
822 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3015790025,1/31/2018,Open,Site downloaded for cleaning,,1001045,194059,40.699308,-73.93943,11206,28501,3042837,Bushwick South,"(40.699308, -73.93943)"
730 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022760024,1/31/2018,Open,Site to be cleaned.,,1000171,194717,40.701116,-73.942581,11206,507,3061511,Bedford,"(40.701116, -73.942581)"
1144 MYRTLE AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031930024,1/30/2018,Open,Site downloaded for cleaning,,1002410,193239,40.697055,-73.93451,11221,393,3400651,Bushwick South,"(40.697055, -73.93451)"
257 MALCOLM X BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016670004,1/29/2018,Open,Site to be cleaned.,,1003882,188399,40.683767,-73.929215,11233,383,3046553,Stuyvesant Heights,"(40.683767, -73.929215)"
106 EAST   98 STREET,BROOKLYN,17 BROOKLYN,Precinct 67,41,3046160014,1/29/2018,Open,Site downloaded for cleaning,,1005811,181347,40.664406,-73.922283,11212,892,3100148,Brownsville,"(40.664406, -73.922283)"
